time_start,exchange,market,open,high,low,close,volume
03/04/2016 07:04,BITF,BTC/USD,418.83,418.83,418.83,418.83,0
03/04/2016 07:05,BITF,BTC/USD,418.83,418.99,418.83,418.99,3.93
03/04/2016 07:06,BITF,BTC/USD,418.99,418.99,418.99,418.99,0.1
03/04/2016 07:07,BITF,BTC/USD,418.99,418.99,418.99,418.99,0
03/04/2016 07:08,BITF,BTC/USD,418.99,418.99,418.99,418.99,0
03/04/2016 07:09,BITF,BTC/USD,418.72,418.98,418.72,418.73,0.05
03/04/2016 07:10,BITF,BTC/USD,418.73,418.73,418.73,418.73,0.18
03/04/2016 07:11,BITF,BTC/USD,418.73,418.73,418.73,418.73,0.07
03/04/2016 07:12,BITF,BTC/USD,418.98,418.98,418.98,418.98,0.01
03/04/2016 07:13,BITF,BTC/USD,418.89,418.89,418.89,418.89,0.85
03/04/2016 07:14,BITF,BTC/USD,418.89,418.89,418.89,418.89,0
03/04/2016 07:15,BITF,BTC/USD,418.78,418.78,418.78,418.78,0.16313931
03/04/2016 07:16,BITF,BTC/USD,418.78,418.78,418.78,418.78,0
03/04/2016 07:17,BITF,BTC/USD,418.78,418.78,418.78,418.78,0
03/04/2016 07:18,BITF,BTC/USD,418.78,418.78,418.78,418.78,0
03/04/2016 07:19,BITF,BTC/USD,418.78,418.78,418.78,418.78,0
03/04/2016 07:20,BITF,BTC/USD,418.78,418.78,418.78,418.78,0
03/04/2016 07:21,BITF,BTC/USD,418.71,418.71,418.71,418.71,0.02369781
03/04/2016 07:22,BITF,BTC/USD,418.71,418.71,418.71,418.71,0
03/04/2016 07:23,BITF,BTC/USD,418.65,418.65,418.65,418.65,0.02365449
03/04/2016 07:24,BITF,BTC/USD,418.65,418.65,418.65,418.65,0
03/04/2016 07:25,BITF,BTC/USD,418.65,418.65,418.65,418.65,0
03/04/2016 07:26,BITF,BTC/USD,418.72,418.72,418.65,418.65,2.17
03/04/2016 07:27,BITF,BTC/USD,418.72,418.72,418.72,418.72,0.8029
03/04/2016 07:28,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:29,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:30,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:31,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:32,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:33,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:34,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:35,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:36,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:37,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:38,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:39,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:40,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 07:41,BITF,BTC/USD,418.77,418.86,418.77,418.86,12.554
03/04/2016 07:42,BITF,BTC/USD,418.86,418.86,418.86,418.86,0
03/04/2016 07:43,BITF,BTC/USD,418.85,418.86,418.85,418.86,0.02064763
03/04/2016 07:44,BITF,BTC/USD,418.86,418.86,418.86,418.86,0
03/04/2016 07:45,BITF,BTC/USD,418.8,418.8,418.8,418.8,0.02
03/04/2016 07:46,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 07:47,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 07:48,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 07:49,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 07:50,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 07:51,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 07:52,BITF,BTC/USD,418.8,418.8,418.8,418.8,0
03/04/2016 07:53,BITF,BTC/USD,418.61,418.61,418.61,418.61,0.15
03/04/2016 07:54,BITF,BTC/USD,418.61,418.61,418.61,418.61,0.15
03/04/2016 07:55,BITF,BTC/USD,418.61,418.61,418.61,418.61,0
03/04/2016 07:56,BITF,BTC/USD,418.76,418.76,418.76,418.76,0.03662
03/04/2016 07:57,BITF,BTC/USD,418.77,418.77,418.62,418.62,0.04
03/04/2016 07:58,BITF,BTC/USD,418.62,418.62,418.62,418.62,0
03/04/2016 07:59,BITF,BTC/USD,418.77,418.77,418.77,418.77,0.06
03/04/2016 08:00,BITF,BTC/USD,418.78,418.78,418.78,418.78,0.36064766
03/04/2016 08:01,BITF,BTC/USD,418.78,418.78,418.78,418.78,0
03/04/2016 08:02,BITF,BTC/USD,418.78,418.78,418.78,418.78,0
03/04/2016 08:03,BITF,BTC/USD,418.78,418.78,418.78,418.78,0
03/04/2016 08:04,BITF,BTC/USD,418.78,418.78,418.78,418.78,0
03/04/2016 08:05,BITF,BTC/USD,418.72,418.72,418.72,418.72,0.04920488
03/04/2016 08:06,BITF,BTC/USD,418.72,418.72,418.72,418.72,0.224
03/04/2016 08:07,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:08,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:09,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:10,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:11,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:12,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:13,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:14,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:15,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:16,BITF,BTC/USD,418.72,418.72,418.72,418.72,0
03/04/2016 08:17,BITF,BTC/USD,418.64,418.78,418.64,418.77,0.95689695
03/04/2016 08:18,BITF,BTC/USD,418.77,418.77,418.77,418.77,0.05
03/04/2016 08:19,BITF,BTC/USD,418.77,418.77,418.77,418.77,0.24
03/04/2016 08:20,BITF,BTC/USD,418.77,418.78,418.65,418.78,0.29908353
03/04/2016 08:21,BITF,BTC/USD,418.78,418.78,418.74,418.74,1.06629481
